Dreamcast-Fighting-Guilty Gear X,8.7
Dreamcast-Fighting-JoJo's Bizarre Adventure,8.5
Dreamcast-Fighting-Last Blade 2: Final Edition,8.9
Dreamcast-Fighting-Last Blade 2: Heart of the Samurai,8.7
Dreamcast-Fighting-Marvel vs. Capcom 2: New Age of Heroes,9.3
Dreamcast-Fighting-Marvel vs. Capcom: Clash of Super Heroes,8.8
Dreamcast-Fighting-Mortal Kombat Gold,6.3
Dreamcast-Fighting-Plasma Sword: Nightmare of Bilstein,6.8
Dreamcast-Fighting-Project Justice,8.8
Dreamcast-Fighting-Psychic Force 2012,6.9
Dreamcast-Fighting-Soul Fighter,2.5
Dreamcast-Fighting-Soulcalibur,10
Dreamcast-Fighting-Street Fighter Alpha 3,9.5
Dreamcast-Fighting-Street Fighter III: Third Strike ++ Fight for the Future,8.3
Dreamcast-Fighting-The King of Fighters '99: Evolution,8.5
Dreamcast-Fighting-The King of Fighters: Dream Match 1999,8.4
Dreamcast-Fighting-Ultimate Fighting Championship,9.1
Dreamcast-Fighting-Virtua Fighter 3tb,8.7
Dreamcast-"Fighting, Action"-Power Stone,8.7
Dreamcast-"Fighting, Action"-Power Stone 2,9
Dreamcast-"Fighting, Action"-Tech Romancer,8.9
Dreamcast-"Fighting, Compilation"-Street Fighter III: Double Impact,8.8
Dreamcast-"Fighting, Compilation"-Vampire Chronicle For Matching Service,8.2
Dreamcast-Flight-AeroWings,8
Dreamcast-Flight-AeroWings 2: Air Strike,8
Dreamcast-Hunting-Reel Fishing Wild,6.8
Dreamcast-Hunting-SEGA Bass Fishing,8.5
Dreamcast-Hunting-SEGA Bass Fishing 2,8.3
Dreamcast-Hunting-SEGA Marine Fishing,8.2
Dreamcast-Music-Dance Dance Revolution 2nd Mix: Dreamcast Edition,8
Dreamcast-Music-Samba de Amigo,9.5
Dreamcast-Music-Samba de Amigo Ver. 2000,9.6
Dreamcast-Music-Space Channel 5 (Dream Collection),9.2
Dreamcast-"Music, Action"-Cool Cool Toon,7.8
Dreamcast-"Music, Action"-Space Channel 5,9.2
Dreamcast-Other-Dream Studio,8.3
Dreamcast-Other-South Park: Chef's Luv Shack,4.3
Dreamcast-Party-Sonic Shuffle,4.7
Dreamcast-Pinball-Neo Golden Logress: Littlewing Solid State Pinball,2
Dreamcast-Platformer-Donald Duck: Goin' Quackers,7.2
Dreamcast-Platformer-Rayman 2: The Great Escape,9.6
Dreamcast-Platformer-Sonic Adventure,8.6
Dreamcast-Platformer-Sonic Adventure 2,9.4
Dreamcast-Platformer-Super Magnetic Neo,6.9
Dreamcast-Puzzle-Bust+A+Move 4,8.8
Dreamcast-Puzzle-Chu Chu Rocket,9
Dreamcast-Puzzle-Communication Logic Battle Daisessen,7.5
Dreamcast-Puzzle-Plus Plum,5.9
Dreamcast-Puzzle-Sakura Wars: Hanagumi Taisen Columns 2,9
Dreamcast-Puzzle-SEGA Swirl,8.2
Dreamcast-Puzzle-SEGA Tetris,6.7
Dreamcast-Puzzle-Wetrix+,8.7
Dreamcast-Puzzle-Worms Armageddon,9
Dreamcast-Puzzle-Worms World Party,8.2
Dreamcast-"Puzzle, Action"-Mr. Driller,8.6
Dreamcast-"Puzzle, Action"-The Next Tetris: On+Line Edition,8
Dreamcast-Racing-18+Wheeler American Pro Trucker,7.8
Dreamcast-Racing-4 Wheel Thunder,8.1
Dreamcast-Racing-4x4 EVO,7.5
Dreamcast-Racing-Daytona USA,9.3
Dreamcast-Racing-Demolition Racer: No Exit,6.8
Dreamcast-Racing-Ducati World Racing Challenge,2.7
Dreamcast-Racing-F+1 World Grand Prix,8.6
Dreamcast-Racing-F+1 World Grand Prix II,7.1
Dreamcast-Racing-Flag to Flag,8.2
Dreamcast-Racing-Hydro Thunder,8.7
Dreamcast-Racing-Jeremy McGrath Supercross 2000,4
Dreamcast-Racing-MagForce Racing,7.7
Dreamcast-Racing-Metropolis Street Racer,9.1
Dreamcast-Racing-Monaco Grand Prix,7.6
Dreamcast-Racing-PenPen TriIcelon,6.6
Dreamcast-Racing-POD: Speedzone,6.6
Dreamcast-Racing-Re+Volt,8.7
Dreamcast-Racing-Roadsters,4.6
Dreamcast-Racing-San Francisco Rush 2049,9
Dreamcast-Racing-SEGA GT,9.2
Dreamcast-Racing-SEGA Rally 2: Sega Rally Championship,9
Dreamcast-Racing-SnoCross Championship Racing,3.1
Dreamcast-Racing-South Park Rally,4.2
Dreamcast-Racing-Speed Devils,7.9
Dreamcast-Racing-Speed Devils Online Racing,7.2
Dreamcast-Racing-Spirit of Speed 1937,2.2
Dreamcast-Racing-Star Wars: Episode I: Racer,6
Dreamcast-Racing-Super Runabout: San Francisco Edition,6.2
Dreamcast-Racing-Suzuki Alstare Racing,4
Dreamcast-Racing-Test Drive 6,3.4
Dreamcast-Racing-Test Drive Le Mans,9.4
Dreamcast-Racing-Test Drive V+Rally,9
Dreamcast-Racing-TNN Motorsports Hardcore Heat,6
Dreamcast-Racing-Tokyo Xtreme Racer,8.8
Dreamcast-Racing-Tokyo Xtreme Racer 2,9.3
Dreamcast-Racing-Trickstyle,8.8
Dreamcast-Racing-Vanishing Point,8.6
Dreamcast-Racing-Wacky Races,8.4
Dreamcast-Racing-Walt Disney World Magical Racing Tour,6.3
Dreamcast-Racing-Zusar Vasar,6
Dreamcast-"Racing, Action"-Crazy Taxi,9.6
Dreamcast-"Racing, Action"-Crazy Taxi 2,8.8
Dreamcast-"Racing, Action"-Star Wars Demolition,7.6
Dreamcast-"Racing, Simulation"-Ferrari F355 Challenge,9.2
Dreamcast-RPG-EGG: Elemental Gimmick Gear,8
Dreamcast-RPG-El Dorado Gate: Vol. 1,7.9
Dreamcast-RPG-Evolution 2: Far off Promise,4.5
Dreamcast-RPG-Evolution: The World of Sacred Device,6.5
Dreamcast-RPG-Grandia II,9.2
Dreamcast-RPG-Phantasy Star Online,9.3
Dreamcast-RPG-Phantasy Star Online Version 2,8.5
Dreamcast-RPG-Record of Lodoss War,8.7
Dreamcast-RPG-Skies of Arcadia,9.2
Dreamcast-RPG-Sorcerian: Apprentice of Seven Star Magic,6.4
Dreamcast-RPG-Time Stalkers,6.5
Dreamcast-Shooter-Bangai+O,9
Dreamcast-Shooter-Cannon Spike,8.8
Dreamcast-Shooter-Centipede [1999],2.9
Dreamcast-Shooter-Confidential Mission,8.8
Dreamcast-Shooter-Fur Fighters,8.3
Dreamcast-Shooter-Giga Wing,6
Dreamcast-Shooter-Giga Wing 2,5
Dreamcast-Shooter-Gunbird 2,8.4
Dreamcast-Shooter-Heavy Metal: Geomatrix,7.5
Dreamcast-Shooter-Mars Matrix,8.5
Dreamcast-Shooter-Quake III: Arena,9.2
Dreamcast-Shooter-Radio Allergy,6.5
Dreamcast-Shooter-Rainbow Cotton,6
Dreamcast-Shooter-Silent Scope,8.3
Dreamcast-Shooter-The House of the Dead 2,8.7
Dreamcast-Shooter-Tom Clancy's Rainbow Six,8
Dreamcast-Shooter-Tom Clancy's Rainbow Six: Rogue Spear,7.8
Dreamcast-Shooter-Unreal Tournament [1999],9.4
Dreamcast-Simulation-Animastar,7.3
Dreamcast-Simulation-Coaster Works,8.4
Dreamcast-Simulation-Jet Coaster Dream 2,9.4
Dreamcast-Simulation-Railroad Tycoon II (Gold Edition),8.2
Dreamcast-Simulation-Seventh Cross,4.2
Dreamcast-Simulation-Tokyo Bus Guide,7
Dreamcast-Simulation-Toy Commander,8.9
Dreamcast-Sports-Championship Surfer,3.4
Dreamcast-Sports-Dave Mirra Freestyle BMX,8.6
Dreamcast-Sports-ESPN International Track &amp; Field,6
Dreamcast-Sports-ESPN NBA 2Night,1
Dreamcast-Sports-Ganbare! Nippon! Olympics 2000,6.1
Dreamcast-Sports-Mat Hoffman's Pro BMX,8.1
Dreamcast-Sports-Maximum Pool,7.8
Dreamcast-Sports-NBA 2K,9.2
Dreamcast-Sports-NBA 2K1,8.8
Dreamcast-Sports-NBA 2K2,9.4
Dreamcast-Sports-NBA Hoopz,7.4
Dreamcast-Sports-NBA Showtime: NBA on NBC,8.8
Dreamcast-Sports-NCAA College Football 2K2: Road to the Rose Bowl,7.8
Dreamcast-Sports-NFL 2K,9.7
